logzsol,logu,age_myr,nii_ha,oiii_hb,oii_ha,sii_ha
-2.0,-2.0,3.0,-3.07933798988859,-0.22595364656301634,-1.6286008472393987,-2.39445065353156
-2.0,-2.0,4.0,-3.085032785224607,-0.22376968519979115,-1.6555061180777053,-2.390928049417477
-2.0,-2.0,6.0,-3.086873977403393,-0.23094908742601739,-1.658163128766113,-2.3897758388654244
-2.0,-2.0,8.0,-3.0804088977977013,-0.22875770872344942,-1.6286487216935706,-2.394754498901124
-2.0,-2.0,10.0,-3.0361886398049194,-0.23975186145404587,-1.5427347679050836,-2.401202734301463
-2.0,-1.9,0.5,-3.109931116702846,-0.21043477005560604,-1.6617304037314515,-2.4217363007182087
-2.0,-1.9,1.0,-3.109931116702846,-0.21043477005560612,-1.6617304037314515,-2.4217363007182087
-2.0,-1.9,2.0,-3.1092949443042146,-0.21079761205361072,-1.6601879407923243,-2.421909044025925
-2.0,-1.9,3.0,-3.109074814251178,-0.2100486282132833,-1.6582096889641826,-2.4218484365614388
-2.0,-1.9,4.0,-3.114198072896201,-0.20795219388606664,-1.6846343576530747,-2.418022905721415
-2.0,-1.9,6.0,-3.115926110036251,-0.2162032690522874,-1.6869964255731604,-2.416928815205146
-2.0,-1.9,8.0,-3.110037244296858,-0.21354445552866577,-1.6581813923017776,-2.422072459386182
-2.0,-1.9,10.0,-3.067131343840849,-0.22349078027136932,-1.5735014350655439,-2.4293348255901974
-2.0,-1.8,0.5,-3.139601861080962,-0.19460227473405214,-1.6912749841311876,-2.4491380992698173
-2.0,-1.8,1.0,-3.139601861080962,-0.19460227473405214,-1.6912749841311876,-2.4491380992698173
-2.0,-1.8,2.0,-3.139011988413184,-0.19492706280913025,-1.6897802569895708,-2.4493466593533832
-2.0,-1.8,3.0,-3.1388116386058287,-0.19414360982546747,-1.6878185291711325,-2.4492462186967985
-2.0,-1.8,4.0,-3.143363359207263,-0.1921346595233392,-1.7137625905150293,-2.4451177607495462
-2.0,-1.8,6.0,-3.1449782123215746,-0.20145743443742417,-1.7158296764597538,-2.444081787510994
-2.0,-1.8,8.0,-3.139665539838092,-0.19833119051971188,-1.687714013164959,-2.4493903975628113
-2.0,-1.8,10.0,-3.0980740478767927,-0.20722969908869973,-1.6042681001622219,-2.457466916860497
-2.0,-1.7,0.5,-3.169272605459078,-0.17876977941249805,-1.7208195628617227,-2.476539896934769
-2.0,-1.7,1.0,-3.169272605459078,-0.1787697794124981,-1.7208195628617227,-2.476539896934769
-2.0,-1.7,2.0,-3.1687290325206434,-0.1790565135610835,-1.7193725717985422,-2.476784273977141
-2.0,-1.7,3.0,-3.1685484629525758,-0.17823859139955583,-1.7174273678602927,-2.4766439999376337
-2.0,-1.7,4.0,-3.172528644157198,-0.17631708218134334,-1.7428908166599228,-2.4722126145018435
-2.0,-1.7,6.0,-3.1740302842605623,-0.18671158358095463,-1.7446628814278913,-2.471234755782977
-2.0,-1.7,8.0,-3.169293784508886,-0.18311791368484312,-1.7172465843610674,-2.4767083134565224
-2.0,-1.7,10.0,-3.1290167519127223,-0.19096861790600878,-1.635034763195153,-2.4855990081123394
-2.0,-1.6,0.5,-3.1989433498371938,-0.16293728409094402,-1.750364139923084,-2.5039416937130525
