nii_ha,oiii_hb,sii_ha
-1.6016559258689824,1.3758120419503683,-1.6277251240922073
-1.5130300639043455,-2.5159956689860223,-0.8075916755098386
-0.6886948640144084,0.30977247597552093,-1.0966167300506722
-0.9972643121187376,-1.8277310761151782,-0.4163014806455815
-0.7578433973574477,-2.931457330219615,-0.27904751724244087
-2.3147594245855316,-3.0464462357675046,-1.0988016213579865
-0.3589357072956432,-4.943778400401605,-0.4242585285114999
-1.2859142711984433,-0.4857185907234652,-1.6886927447413072
-0.6925938359915023,0.04090076162254525,-0.6741464876506704
-0.44710675495426955,-0.9285783411790192,-0.42349919733141145
-1.5939287641854492,0.36124512160326094,-1.80036442934248
0.09947301736935542,-2.5258736432801143,-1.7835321248413711
-1.1623092220526772,-2.566952255280434,-0.6620123230738583
-1.1196580079620162,-0.34967240188296955,-0.9272212068218497
-1.1464769307252425,0.4598213745162169,-1.1345912929316178
-1.2078086499628427,-2.548649285012715,-1.219176489377745
-1.0149551675441657,-0.20159494487317173,-0.988553193304803
-0.42224252909677784,-0.4140532997484812,-0.4423451441985194
-1.072197544226519,-2.8500766101722164,-0.5425618140738175
-0.7104356688981852,-5.769054892770065,-0.5293689818331336
-1.1924504425764084,0.3333813826801873,-1.7714303449820892
-0.6094267951445218,0.964603386743029,-1.413731942052331
-0.8788321836877203,0.72703492316721,-1.1331105890096729
-1.0125653987402785,-0.5558568996387124,-0.8346136945766695
-0.14715195611626808,-3.9959629521796387,-1.0268562920753306
-1.0915975186712217,0.7882243007314997,-1.505179818025656
-1.2351861914698503,-3.7900589178743402,-0.6703403544504235
-1.1147410588234834,-2.6480901410343165,-0.3999194198739338
-1.7777655789500955,-1.0585585033457008,-1.6893534784349018
-1.2942021873439344,-3.2046792797730035,-0.6308414865534325
-1.7289036324594207,0.9124883908625492,-0.778325066561872
-2.0182088763134445,0.5464586298723902,-1.0370716903281625
-0.4759872384801157,-0.9143336182415568,-0.3662913092485571
-1.6781517431314086,-0.4008692866303392,-1.6827504636130577
-1.8385473074501135,-5.054373546446165,-0.7729368819261109
