logu,logz,logno,logn,nii_ha,oiii_hb,sii_ha
-2.0,-1.3733333333333333,-2.0,0.5,-3.3069342486323308,-0.15198616576281412,-1.2614504084048583
-2.0,-1.2466666666666666,-2.0,0.5,-3.1885812284563215,-0.043112418265536655,-1.1422158378344813
-2.0,-1.12,-2.0,0.5,-3.0734950124201745,0.05762739751921237,-1.0266462051546046
-2.0,-0.9933333333333334,-2.0,0.5,-2.9630196555794655,0.14735776453022004,-0.9157313123841496
-2.0,-0.8666666666666667,-2.0,0.5,-2.8587418027445395,0.22290578940708625,-0.8106647394611366
-2.0,-0.7400000000000001,-2.0,0.5,-2.7623083292136457,0.2811456906167677,-0.7128460653746314
-2.0,-0.6133333333333335,-2.0,0.5,-2.675253463135661,0.3193478354823683,-0.6238473187828374
-2.0,-0.4866666666666668,-2.0,0.5,-2.599069194009644,0.335173218829489,-0.5453543010777353
-2.0,-0.3600000000000001,-2.0,0.5,-2.5356279253349854,0.32605012307465847,-0.47916185492936714
-2.0,-0.2333333333333334,-2.0,0.5,-2.48782864185403,0.2878957607159195,-0.4273775431644508
-2.0,-0.10666666666666691,-2.0,0.5,-2.460208377427719,0.213198058982698,-0.3929649799674127
-2.0,0.019999999999999796,-2.0,0.5,-2.4590907289709136,0.08849921294429208,-0.3805023486196947
-2.0,0.1466666666666665,-2.0,0.5,-2.4915584332217264,-0.10808526178318086,-0.3964487971880192
-2.0,0.273333333333333,-2.0,0.5,-2.5629917265121236,-0.4065295358378051,-0.4474785959768931
-2.0,0.4,-2.0,0.5,-2.675329854105442,-0.8334920434432718,-0.5364879223106089
-1.8,-1.5,-2.0,0.5,-3.445929652162704,-0.21205527040439873,-1.413898943427981
-1.8,-1.3733333333333333,-2.0,0.5,-3.325577636288422,-0.09870885684394184,-1.2920451581510586
-1.8,-1.2466666666666666,-2.0,0.5,-3.2075771878886385,0.008652713722163663,-1.1732269223008551
-1.8,-1.12,-2.0,0.5,-3.0929932854013202,0.10756692610885203,-1.058294484236942
-1.8,-0.9933333333333334,-2.0,0.5,-2.9831792249441023,0.19516768965829806,-0.9482752820632201
-1.8,-0.8666666666666667,-2.0,0.5,-2.879699789273957,0.2683866720668177,-0.8443851729126677
-1.8,-0.7400000000000001,-2.0,0.5,-2.7841626572417937,0.324289122831253,-0.7480140653192242
-1.8,-0.6133333333333335,-2.0,0.5,-2.698086433631161,0.3603275903413916,-0.6606749328352571
-1.8,-0.4866666666666668,-2.0,0.5,-2.623003632878202,0.37420556506408065,-0.5839457607923574
-1.8,-0.3600000000000001,-2.0,0.5,-2.560883857948866,0.3631648867619717,-0.5195128460560019
-1.8,-0.2333333333333334,-2.0,0.5,-2.5147775330349162,0.322662811249927,-0.46948985362423845
-1.8,-0.10666666666666691,-2.0,0.5,-2.489443397240038,0.24444514256592953,-0.43711719999783955
